               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.7034,              3.3761,             0.91088,             0.41493,             0.52969,             0.48445,             0.25256,              1.5252,              1.1654,             0.84971,            0.070316,           0.0032982,           0.0032982
                   1,              1.8331,              1.5828,             0.89697,             0.70121,             0.36103,             0.37543,             0.14932,              2.0477,              2.0239,             0.92019,             0.04025,           0.0065659,           0.0065659
                   2,              2.1078,              1.7032,             0.94259,             0.47481,            0.085066,            0.063148,            0.024224,              2.6119,              4.0659,              1.0626,            0.010118,           0.0097676,           0.0097676
                   3,              2.3525,              2.1122,              1.0129,             0.17634,             0.18666,             0.13815,            0.041735,              2.9386,              3.4273,               1.121,            0.009703,            0.009703,            0.009703
                   4,              2.3659,              1.9546,              1.0103,             0.71639,             0.23334,             0.26483,             0.10727,              2.1798,              2.0328,             0.97719,            0.009703,            0.009703,            0.009703
                   5,              2.2503,              1.8516,             0.99181,             0.64712,            0.070041,            0.088254,            0.026057,              2.5752,              2.9596,              1.0408,            0.009604,            0.009604,            0.009604
                   6,               2.265,              1.8491,             0.98789,             0.53594,             0.27894,             0.27072,             0.10901,              2.0477,              1.6305,              0.9669,            0.009505,            0.009505,            0.009505
                   7,              2.1923,              1.7276,             0.96991,             0.41004,             0.32091,             0.30051,             0.13617,              1.9247,              1.5559,             0.92997,            0.009406,            0.009406,            0.009406
                   8,              2.1496,              1.6721,             0.97239,             0.36727,             0.29813,             0.24947,            0.098433,              2.1825,              1.5744,             0.96536,            0.009307,            0.009307,            0.009307
                   9,              2.0749,              1.6346,             0.95684,             0.59341,             0.37964,             0.34974,              0.1518,              1.8274,              1.2607,             0.91546,            0.009208,            0.009208,            0.009208
                  10,              2.0008,              1.5768,             0.95476,             0.29148,             0.32871,             0.27306,             0.11881,              2.0463,              1.5057,             0.97532,            0.009109,            0.009109,            0.009109
